"NETWORTH","WGT","YEAR"
114000000000,1,2019
106000000000,1,2019
80800000000,1,2019
69600000000,1,2019
65000000000,1,2019
55500000000,1,2019
53500000000,1,2019
53400000000,1,2019
51700000000,1,2019
51600000000,1,2019
51400000000,1,2019
51300000000,1,2019
41000000000,1,2019
41000000000,1,2019
36100000000,1,2019
35900000000,1,2019
34500000000,1,2019
32300000000,1,2019
29700000000,1,2019
29700000000,1,2019
21600000000,1,2019
21300000000,1,2019
19900000000,1,2019
19100000000,1,2019
18800000000,1,2019
18700000000,1,2019
18300000000,1,2019
18100000000,1,2019
17700000000,1,2019
17600000000,1,2019
17500000000,1,2019
17000000000,1,2019
14200000000,1,2019
14000000000,1,2019
13600000000,1,2019
13100000000,1,2019
12800000000,1,2019
12700000000,1,2019
12000000000,1,2019
11600000000,1,2019
11500000000,1,2019
11500000000,1,2019
11500000000,1,2019
10800000000,1,2019
10700000000,1,2019
10300000000,1,2019
10100000000,1,2019
9800000000,1,2019
9700000000,1,2019
9700000000,1,2019
9600000000,1,2019
9600000000,1,2019
9500000000,1,2019
9000000000,1,2019
8800000000,1,2019
8600000000,1,2019
8600000000,1,2019
8500000000,1,2019
8100000000,1,2019
7900000000,1,2019
7800000000,1,2019
7800000000,1,2019
7700000000,1,2019
7700000000,1,2019
7700000000,1,2019
7600000000,1,2019
7500000000,1,2019
7500000000,1,2019
7500000000,1,2019
7400000000,1,2019
7400000000,1,2019
7400000000,1,2019
7400000000,1,2019
7400000000,1,2019
7300000000,1,2019
7300000000,1,2019
7200000000,1,2019
7200000000,1,2019
7000000000,1,2019
7000000000,1,2019
7000000000,1,2019
6900000000,1,2019
6900000000,1,2019
6800000000,1,2019
6700000000,1,2019
6700000000,1,2019
6700000000,1,2019
6700000000,1,2019
6700000000,1,2019
6700000000,1,2019
6600000000,1,2019
6600000000,1,2019
6500000000,1,2019
6500000000,1,2019
6400000000,1,2019
6400000000,1,2019
6400000000,1,2019
6400000000,1,2019
6400000000,1,2019
6300000000,1,2019
6300000000,1,2019
6300000000,1,2019
6300000000,1,2019
6300000000,1,2019
6300000000,1,2019
6300000000,1,2019
6200000000,1,2019
6100000000,1,2019
6100000000,1,2019
6100000000,1,2019
6100000000,1,2019
6000000000,1,2019
5800000000,1,2019
5700000000,1,2019
5700000000,1,2019
5700000000,1,2019
5700000000,1,2019
5600000000,1,2019
5500000000,1,2019
5500000000,1,2019
5500000000,1,2019
5500000000,1,2019
5500000000,1,2019
5500000000,1,2019
5300000000,1,2019
5300000000,1,2019
5200000000,1,2019
5100000000,1,2019
5100000000,1,2019
5100000000,1,2019
5000000000,1,2019
5000000000,1,2019
5000000000,1,2019
5000000000,1,2019
5000000000,1,2019
5000000000,1,2019
5000000000,1,2019
5000000000,1,2019
5000000000,1,2019
4900000000,1,2019
4900000000,1,2019
4900000000,1,2019
4900000000,1,2019
4800000000,1,2019
4700000000,1,2019
4700000000,1,2019
4700000000,1,2019
4600000000,1,2019
4600000000,1,2019
4500000000,1,2019
4500000000,1,2019
4500000000,1,2019
4500000000,1,2019
4400000000,1,2019
4400000000,1,2019
4400000000,1,2019
4400000000,1,2019
4400000000,1,2019
4300000000,1,2019
4300000000,1,2019
4300000000,1,2019
4300000000,1,2019
4300000000,1,2019
4300000000,1,2019
4300000000,1,2019
4300000000,1,2019
4300000000,1,2019
4200000000,1,2019
4200000000,1,2019
4200000000,1,2019
4200000000,1,2019
4200000000,1,2019
4200000000,1,2019
4200000000,1,2019
4200000000,1,2019
4200000000,1,2019
4200000000,1,2019
4200000000,1,2019
4100000000,1,2019
4100000000,1,2019
4100000000,1,2019
4100000000,1,2019
4100000000,1,2019
4100000000,1,2019
4100000000,1,2019
4100000000,1,2019
4000000000,1,2019
4000000000,1,2019
4000000000,1,2019
4000000000,1,2019
4000000000,1,2019
4000000000,1,2019
4000000000,1,2019
4000000000,1,2019
3900000000,1,2019
3900000000,1,2019
3900000000,1,2019
3900000000,1,2019
3900000000,1,2019
3900000000,1,2019
3900000000,1,2019
3900000000,1,2019
3900000000,1,2019
3900000000,1,2019
3900000000,1,2019
3900000000,1,2019
3800000000,1,2019
3800000000,1,2019
3800000000,1,2019
3800000000,1,2019
3800000000,1,2019
3800000000,1,2019
3800000000,1,2019
3800000000,1,2019
3800000000,1,2019
3800000000,1,2019
3700000000,1,2019
3700000000,1,2019
3700000000,1,2019
3700000000,1,2019
3700000000,1,2019
3700000000,1,2019
3700000000,1,2019
3700000000,1,2019
3600000000,1,2019
3600000000,1,2019
3600000000,1,2019
3600000000,1,2019
3600000000,1,2019
3600000000,1,2019
3600000000,1,2019
3600000000,1,2019
3600000000,1,2019
3600000000,1,2019
3600000000,1,2019
3600000000,1,2019
3600000000,1,2019
3600000000,1,2019
3500000000,1,2019
3500000000,1,2019
3500000000,1,2019
3500000000,1,2019
3500000000,1,2019
3500000000,1,2019
3500000000,1,2019
3500000000,1,2019
3500000000,1,2019
3500000000,1,2019
3500000000,1,2019
3400000000,1,2019
3400000000,1,2019
3400000000,1,2019
3400000000,1,2019
3400000000,1,2019
3400000000,1,2019
3400000000,1,2019
3400000000,1,2019
3400000000,1,2019
3400000000,1,2019
3400000000,1,2019
3300000000,1,2019
3300000000,1,2019
3300000000,1,2019
3300000000,1,2019
3300000000,1,2019
3300000000,1,2019
3300000000,1,2019
3200000000,1,2019
3200000000,1,2019
3200000000,1,2019
3200000000,1,2019
3200000000,1,2019
3200000000,1,2019
3200000000,1,2019
3100000000,1,2019
3100000000,1,2019
3100000000,1,2019
3100000000,1,2019
3100000000,1,2019
3100000000,1,2019
3100000000,1,2019
3100000000,1,2019
3100000000,1,2019
3100000000,1,2019
3100000000,1,2019
3100000000,1,2019
3000000000,1,2019
3000000000,1,2019
3000000000,1,2019
3000000000,1,2019
3000000000,1,2019
3000000000,1,2019
3000000000,1,2019
3000000000,1,2019
3000000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2400000000,1,2019
2400000000,1,2019
2400000000,1,2019
2400000000,1,2019
2400000000,1,2019
2400000000,1,2019
2400000000,1,2019
2400000000,1,2019
2300000000,1,2019
2300000000,1,2019
2300000000,1,2019
2300000000,1,2019
2300000000,1,2019
2300000000,1,2019
2300000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
